"sticky notes, pens, watch cap, sweater, jeans",true
"laptop, notebook, scarf, skirt, shoes",true  
"calculator, pencils, hair clip, blouse, shorts",true
"backpack, phone charger, headband, t-shirt, pants",false
"water bottle, wallet, gloves, hoodie, sunglasses",false
"keys, gum, beret, dress, heels",true
"folder, assignment, jacket, leggings, earbuds",true
"ruler, lip balm, tie, slacks, glasses case",false 
"textbook, highlighters, hat, jeans, sneakers",false
"lunch box, watch, collar, trousers, bracelet",false
"planner, barrette, blazer, tights, bag",false  
"pencil pouch, hair elastic, button-down, skirt, flats",true
"notebook, protein bar, vest, sweatpants, contacts",false
"flash drive, comb, bowtie, leggings, pocket mirror",true 
"charger, sunglasses, blouse, gym shorts, playing cards",false  
"binder, makeup kit, suit jacket, yoga pants, headphones",false
"pen, glasses, dress, stockings, hand sanitizer",true
"laptop, wallet, cap, joggers, umbrella",false
"phone, bobby pins, collared shirt, slacks, mittens",false   
"homework, lipstick, beret, skirt, boots",true  
"highlighters, purse, sweater dress, tights, backpack",true
"geometry set, hair brush, shirt, shorts, glasses case",false
"contact solution, scarf, blazer, leggings, ruler",true
"deodorant, belt, button-up, pants, retainer case",false
"computer, necklace, vest, skirt, charger",true
"novel, hair elastics, dress shirt, capris, lunchbox",false  
"papers, tie, hoodie, sweatpants, water bottle",false 
"kindle, bracelet, blouse, jeans, glasses",true 
"notebook, bobby pins, suit, leggings, calculator",true
"pens, bag, t-shirt, joggers, phone",false
"highlighter, barrette, collar, trousers, folder",false   
"sticky notes, hair clip, jacket, tights, assignment",true 
"perfume, gloves, beret, dress, shoes",true
"wallet, lipstick, sweater, shorts, gum",false
"ruler, sunglasses, tie, slacks, keys",false
"textbook, brush, hat, pants, water bottle",false
"pouch, hair band, button-up, skirt, earbuds",true  
"protractor, purse, vest, leggings, laptop",false
"glasses, necklace, blouse, sweatpants, comb",false
"homework, belt, bowtie, tights, flashlight",true 
"pencils, makeup bag, blazer, shorts, playing cards",false
